  10.  0.00429061397  0.0451000063  0.0483606259
  15.8489319  0.0404345942  0.071478693  0.0759992911
  25.1188643  0.086982654  0.113286094  0.119472614
  39.8107171  0.164601589  0.179546359  0.187939967
  63.0957344  0.2714675  0.284561802  0.295888953
  100.  0.417628109  0.451000063  0.466167799
  158.489319  0.672870745  0.71478693  0.734693972
  251.188643  1.053144  1.13286094  1.15761997
  398.107171  1.71438051  1.79546359  1.82195992
  630.957344  2.59778082  2.84561802  2.86075235
  1000.  4.32623708  4.51000063  4.4732981
  1584.89319  6.5558661  7.1478693  6.94987637
  2511.88643  9.89559077  11.3286094  10.6973723
  3981.07171  15.5065545  17.9546359  16.2591993
  6309.57344  22.010796  28.4561802  24.3219345
  10000.  32.4664071  45.1000063  35.7059839
