0.125893E+01 0.820402E-01 0.546394E-01 -.309848E+00 -.340612E+00 0.433133E-01 0.498248E-01 -.218120E+00 -.252694E+00
0.199526E+01 0.121054E+00 0.759494E-01 -.409409E-01 0.158321E-01 0.826266E-01 0.817251E-01 0.540856E-02 -.940129E-02
0.316228E+01 0.575039E-01 0.449400E-01 -.188450E-01 -.448884E-01 0.463686E-01 0.470384E-01 -.304922E-02 -.738261E-02
0.501187E+01 0.946731E-02 0.200724E-01 -.267667E-01 -.961105E-01 0.169296E-01 0.195105E-01 -.245106E-01 -.247408E-01
0.794328E+01 -.753079E-03 0.140045E-01 -.179024E-01 -.812221E-01 0.992428E-02 0.124159E-01 -.202627E-01 -.195527E-01
0.125893E+02 0.256850E-02 0.147991E-01 -.493254E-02 -.526381E-01 0.121888E-01 0.140039E-01 -.718435E-02 -.644602E-02
0.199526E+02 0.614229E-02 0.160214E-01 0.237580E-02 -.345397E-01 0.156792E-01 0.169633E-01 0.260054E-02 0.336662E-02
0.316228E+02 0.101077E-01 0.161975E-01 0.905935E-02 -.186135E-01 0.164378E-01 0.182250E-01 0.741345E-02 0.102888E-01
0.501187E+02 0.995998E-02 0.130130E-01 0.118062E-01 -.975391E-02 0.155447E-01 0.158097E-01 0.111775E-01 0.119524E-01
0.794328E+02 0.707104E-02 0.741672E-02 0.110471E-01 -.576062E-02 0.111546E-01 0.110237E-01 0.949950E-02 0.102668E-01
0.125893E+03 0.103763E-02 -.755856E-03 0.735676E-02 -.696116E-02 0.445369E-02 0.408388E-02 0.490530E-02 0.589447E-02
0.199526E+03 -.791512E-02 -.127962E-01 0.674105E-03 -.112765E-01 -.474926E-02 -.373937E-02 -.176217E-02 -.666996E-03
0.316228E+03 -.208186E-01 -.295171E-01 -.908923E-02 -.184920E-01 -.171922E-01 -.167118E-01 -.113099E-01 -.948556E-02
0.501187E+03 -.393380E-01 -.537699E-01 -.234528E-01 -.307266E-01 -.345718E-01 -.376088E-01 -.236189E-01 -.213874E-01
0.794328E+03 -.647302E-01 -.859780E-01 -.429727E-01 -.471063E-01 -.585997E-01 -.621311E-01 -.398258E-01 -.374072E-01
0.125893E+04 -.970978E-01 -.127017E+00 -.684409E-01 -.688766E-01 -.896821E-01 -.948724E-01 -.616497E-01 -.587210E-01
0.199526E+04 -.136394E+00 -.175179E+00 -.100986E+00 -.964809E-01 -.128540E+00 -.135480E+00 -.897033E-01 -.862363E-01
0.316228E+04 -.178869E+00 -.225130E+00 -.139288E+00 -.129098E+00 -.172217E+00 -.180884E+00 -.123134E+00 -.119500E+00
0.501187E+04 -.218665E+00 -.268565E+00 -.180593E+00 -.164931E+00 -.215698E+00 -.225487E+00 -.159858E+00 -.156902E+00
0.794328E+04 -.248744E+00 -.295963E+00 -.219944E+00 -.200475E+00 -.250879E+00 -.260768E+00 -.195840E+00 -.194422E+00
